"id","name","now_cost","position","team","points_per_game","ict_index_rank","influence","creativity_rank","goals_scored","points_per_game_rank","threat","influence_rank_type","expected_goals_conceded","in_dreamteam","goals_conceded","news","transfers_in_event","yellow_cards","expected_assists","expected_goals_conceded_per_90","starts","ep_this","direct_freekicks_order","goals_conceded_per_90","expected_assists_per_90","ict_index_rank_type","expected_goals_per_90","chance_of_playing_this_round","bonus","points_per_game_rank_type","news_added","now_cost_rank","expected_goal_involvements","penalties_order","web_name","clean_sheets","transfers_out","selected_rank_type","expected_goals","clean_sheets_per_90","form_rank_type","selected_by_percent","ict_index","transfers_in","expected_goal_involvements_per_90","threat_rank","status","form","value_season","saves_per_90","event_points","influence_rank","assists","dreamteam_count","transfers_out_event","ep_next","total_points","bps","selected_rank","corners_and_indirect_freekicks_order","value_form","creativity_rank_type","now_cost_rank_type","form_rank","saves","red_cards","creativity","threat_rank_type","chance_of_playing_next_round","starts_per_90","minutes"
"599","Moussa Diaby","65","MID","Aston Villa","7","643","0","643","1","29","0","269","2.8","false","4","","52467","0","0.11","2.93","1","1.8","0","4.19","0.12","270","0.38","0","0","9","","52","0.47","0","Diaby","0","8108","15","0.36","0","9","6.9","0","52467","0.5","641","a","7","1.1","0","7","642","0","0","8108","2.3","7","26","51","","1.1","270","31","29","0","0","0","269","0","1.05","86"
"618","Omari Kellyman","45","MID","Aston Villa","0","483","0","476","0","514","0","163","0","false","0","","224","0","0","0","0","0.5","0","0","0","167","0","0","0","186","","542","0","0","Kellyman","0","154","205","0","0","186","0","0","224","0","460","a","0","0","0","0","478","0","0","154","1","0","0","541","","0","166","275","514","0","0","0","153","0","0","0"
"62","Jaidon Anthony","50","MID","Bournemouth","1","177","5.4","150","0","224","2","67","0.84","false","1","","399","0","0","1.28","1","1.6","2","1.53","0","82","0","0","0","101","","279","0","0","Anthony","0","704","114","0","0","101","0.2","0.9","399","0","130","a","1","0.2","0","1","155","0","0","704","1.1","1","1","370","3.0","0.2","84","179","224","0","0","1.2","71","0","1.53","59"
"63","Philip Billing","55","MID","Bournemouth","2","72","16.2","58","0","134","14","28","1.07","false","1","","625","0","0.06","1.07","1","2.1","1","1","0.06","40","0.07","0","0","58","","104","0.13","0","Billing","0","2929","62","0.07","0","58","0.8","4.7","625","0.13","59","a","2","0.4","0","2","80","0","0","2929","1.6","2","13","190","5.0","0.4","40","64","134","0","0","17.1","35","0","1","90"
"64","David Brooks","50","MID","Bournemouth","2","86","5.2","68","0","109","16","69","0.88","false","1","","353","0","0.02","1.07","1","1.6","0","1.22","0.02","46","0.19","0","0","39","","188","0.18","0","Brooks","0","294","145","0.16","0","39","0.1","3.5","353","0.21","53","a","2","0.4","0","2","157","0","0","294","1.1","2","4","432","","0.4","45","121","109","0","0","13.8","30","0","1.22","74"
"65","Ryan Christie","50","MID","Bournemouth","2","88","11.4","65","0","113","9","41","0.84","false","1","","49","0","0.03","1.15","1","1.2","0","1.36","0.04","48","0.03","75","0","41","2023-08-06 23:30:05.398","207","0.05","0","Christie","0","83","239","0.02","0","41","0","3.5","49","0.07","72","a","2","0.4","0","2","112","0","0","83","1.1","2","8","593","","0.4","43","133","113","0","0","14.8","42","100","1.36","66"
"66","Lewis Cook","50","MID","Bournemouth","0","523","0","517","0","549","0","194","0","false","0","Hip injury - 50% chance of playing","17","0","0","0","0","1.6","0","0","0","198","0","0","0","213","2023-08-12 21:30:06.147","205","0","0","L.Cook","0","236","221","0","0","213","0","0","17","0","505","d","0","0","0","0","519","0","0","236","0.6","0","0","562","","0","197","131","549","0","0","0","186","50","0","0"
"67","Siriki Dembélé","45","MID","Bournemouth","0","409","0","401","0","449","0","119","0","false","0","Permanent Transfer to Birmingham","0","0","0","0","0","0","0","0","0","123","0","0","0","145","2023-07-17 06:20:36.127","454","0","0","Siriki","0","65","266","0","0","145","0","0","0","0","382","u","0","0","0","0","403","0","0","65","0","0","0","640","","0","121","225","449","0","0","0","107","0","0","0"
"68","Ryan Fredericks","45","DEF","Bournemouth","0","324","0","311","0","368","0","143","0","false","0","Calf injury - Unknown return date","13","0","0","0","0","0","0","0","0","141","0","0","0","146","2023-08-06 23:30:05.414","328","0","0","Fredericks","0","332","203","0","0","146","0","0","13","0","278","i","0","0","0","0","319","0","0","332","0","0","0","573","","0","138","50","368","0","0","0","120","0","0","0"
"69","James Hill","40","DEF","Bournemouth","1","197","0","133","0","162","0","122","0.19","false","0","","839","0","0.01","1.14","0","1","0","0","0.06","69","0","0","0","49","","637","0.01","0","Hill","0","462","115","0","0","49","0.3","0.2","839","0.06","238","a","1","0.2","0","1","286","0","0","462","0.5","1","1","300","","0.2","42","202","162","0","0","1.8","95","0","0","15"
"70","Lloyd Kelly","45","DEF","Bournemouth","0","402","0","394","0","442","0","187","0","false","0","Knock - Unknown return date","7","0","0","0","0","0","0","0","0","186","0","0","0","190","2023-07-26 15:30:04.054","445","0","0","Kelly","0","128","209","0","0","190","0","0","7","0","375","i","0","0","0","0","396","0","0","128","0","0","0","607","","0","186","128","442","0","0","0","180","0","0","0"
"71","Gavin Kilkenny","45","MID","Bournemouth","0","429","0","422","0","465","0","129","0","false","0","","190","0","0","0","0","1","0","0","0","133","0","0","0","154","","478","0","0","Kilkenny","0","276","159","0","0","154","0.1","0","190","0","403","a","0","0","0","0","424","0","0","276","0.5","0","0","459","","0","132","236","465","0","0","0","118","0","0","0"
"72","Justin Kluivert","50","MID","Bournemouth","1","557","0","551","0","217","0","216","0.23","false","0","","350","0","0.01","0.69","0","1.6","0","0","0.03","220","0","0","0","96","","252","0.01","0","Kluivert","0","1799","72","0","0","96","0.5","0","350","0.03","543","a","1","0.2","0","1","553","0","0","1799","1.1","1","2","228","","0.2","219","163","217","0","0","0","211","0","0","30"
"73","Jamal Lowe","50","MID","Bournemouth","0","516","0","510","0","542","0","189","0","false","0","","10","0","0","0","0","1.6","0","0","0","193","0","0","0","208","","194","0","0","Lowe","0","74","240","0","0","208","0","0","10","0","498","a","0","0","0","0","511","0","0","74","1.1","0","0","594","","0","192","124","542","0","0","0","181","0","0","0"
"74","Emiliano Marcondes","45","MID","Bournemouth","0","345","0","334","0","384","0","101","0","false","0","","83","0","0","0","0","1","0","0","0","105","0","0","0","127","","358","0","0","Marcondes","0","152","194","0","0","127","0","0","83","0","304","a","0","0","0","0","340","0","0","152","0.5","0","0","527","","0","103","204","384","0","0","0","88","0","0","0"
"75","Chris Mepham","45","DEF","Bournemouth","0","149","5.8","88","0","431","0","60","0.23","false","0","","65","1","0.01","0.69","0","2","0","0","0.03","55","0","0","0","185","","430","0.01","0","Mepham","0","303","167","0","0","185","0.1","1.7","65","0.03","361","a","0","0","0","0","154","0","0","303","1.5","0","2","441","","0","24","119","431","0","0","11.2","172","0","0","30"
"76","Kieffer Moore","50","FWD","Bournemouth","1","175","0","120","0","208","7","46","0.23","false","0","","659","0","0.05","0.9","0","1.4","0","0","0.2","19","0.16","0","0","27","","195","0.09","0","Moore","0","1942","43","0.04","0","27","0.5","0.9","659","0.36","84","a","1","0.2","0","1","512","0","0","1942","0.9","1","2","230","","0.2","11","44","208","0","0","3.3","16","0","0","23"
"77","Norberto Murara Neto","45","GKP","Bournemouth","2","161","14","308","0","85","0","9","1.07","false","1","","880","0","0.01","1.07","1","2.4","0","1","0.01","10","0","0","0","11","","323","0.01","0","Neto","0","1260","27","0","0","11","0.8","1.4","880","0.01","275","a","2","0.4","1","2","91","0","0","1260","1.9","2","11","191","","0.4","53","16","85","1","0","0","52","0","1","90"
"78","Dango Ouattara","50","MID","Bournemouth","0","592","0","586","0","598","0","235","0","false","0","Ankle injury - Expected back 17 Sep","14","0","0","0","0","1.6","0","0","0","239","0","0","0","242","2023-08-12 21:30:06.219","300","0","0","O.Dango","0","514","184","0","0","242","0.1","0","14","0","580","i","0","0","0","0","587","0","0","514","0","0","0","508","","0","237","193","598","0","0","0","231","0","0","0"
"79","Ben Pearson","45","MID","Bournemouth","0","350","0","339","0","390","0","104","0","false","0","Permanent transfer to Stoke City","0","0","0","0","0","0","0","0","0","108","0","0","0","130","2023-07-11 08:58:20.803","365","0","0","Pearson","0","18","275","0","0","130","0","0","0","0","310","u","0","0","0","0","345","0","0","18","0","0","0","653","","0","106","207","390","0","0","0","91","0","0","0"
"80","Darren Randolph","40","GKP","Bournemouth","0","207","0","189","0","257","0","18","0","false","0","","710","0","0","0","0","1","0","0","0","18","0","0","0","23","","550","0","0","Randolph","0","635","30","0","0","23","0.7","0","710","0","151","a","0","0","0","0","202","0","0","635","0.5","0","0","205","","0","6","34","257","0","0","0","5","0","0","0"
"81","Joe Rothwell","50","MID","Bournemouth","2","87","18.8","64","0","112","1","24","1.07","false","1","","36","0","0.04","1.07","1","1.6","4","1","0.04","47","0.03","0","0","40","","206","0.07","0","Rothwell","0","66","238","0.03","0","40","0","3.5","36","0.07","145","a","2","0.4","0","2","69","0","0","66","1.1","2","13","591","2.0","0.4","42","132","112","0","0","15.3","80","0","1","90"
"82","Antoine Semenyo","45","FWD","Bournemouth","4","187","0","127","0","55","3","32","0.19","false","0","","10190","0","0.01","1.14","0","0.8","0","0","0.06","21","0.42","75","0","14","2023-08-06 23:30:05.439","473","0.08","0","Semenyo","0","2945","34","0.07","0","14","0.9","0.5","10190","0.48","110","a","4","0.9","0","4","419","1","0","2945","0.5","4","11","178","","0.9","13","75","55","0","0","2.3","19","100","0","15"
"83","Marcos Senesi","45","DEF","Bournemouth","1","148","16.2","165","0","180","0","33","0.84","false","1","","150","0","0.02","1.28","1","2","0","1.53","0.03","54","0","0","0","65","","422","0.02","0","Senesi","0","430","140","0","0","65","0.2","1.7","150","0.03","355","a","1","0.2","0","1","79","0","0","430","1.5","1","9","360","","0.2","57","113","180","0","0","0.5","168","0","1.53","59"
