"id","name","now_cost","position","team","points_per_game","ict_index_rank","influence","creativity_rank","goals_scored","points_per_game_rank","threat","influence_rank_type","expected_goals_conceded","in_dreamteam","goals_conceded","news","transfers_in_event","yellow_cards","expected_assists","expected_goals_conceded_per_90","starts","ep_this","direct_freekicks_order","goals_conceded_per_90","expected_assists_per_90","ict_index_rank_type","expected_goals_per_90","chance_of_playing_this_round","bonus","points_per_game_rank_type","news_added","now_cost_rank","expected_goal_involvements","penalties_order","web_name","clean_sheets","transfers_out","selected_rank_type","expected_goals","clean_sheets_per_90","form_rank_type","selected_by_percent","ict_index","transfers_in","expected_goal_involvements_per_90","threat_rank","status","form","value_season","saves_per_90","event_points","influence_rank","assists","dreamteam_count","transfers_out_event","ep_next","total_points","bps","selected_rank","corners_and_indirect_freekicks_order","value_form","creativity_rank_type","now_cost_rank_type","form_rank","saves","red_cards","creativity","threat_rank_type","chance_of_playing_next_round","starts_per_90","minutes"
"456","Alex Mighten","45","MID","Nott'm Forest","0","411","0","403","0","451","0","120","0","false","0","","87","0","0","0","0","0.5","0","0","0","124","0","0","0","146","","457","0","0","Mighten","0","155","204","0","0","146","0","0","87","0","384","a","0","0","0","0","405","0","0","155","1.5","0","0","539","","0","122","226","451","0","0","0","108","0","0","0"
"457","Moussa Niakhaté","45","DEF","Nott'm Forest","0","369","0","358","0","410","0","169","0","false","0","","38","0","0","0","0","0.4","0","0","0","167","0","25","0","172","2023-08-06 23:30:06.061","394","0","0","Niakhaté","0","173","202","0","0","172","0","0","38","0","332","a","0","0","0","0","364","0","0","173","2.5","0","0","569","","0","165","94","410","0","0","0","153","100","0","0"
"458","Lewis O'Brien","50","MID","Nott'm Forest","0","564","0","559","0","576","0","218","0","false","0","","8","0","0","0","0","1.1","0","0","0","222","0","0","0","229","","263","0","0","O'Brien","0","90","241","0","0","229","0","0","8","0","552","a","0","0","0","0","559","0","0","90","2.1","0","0","596","","0","221","168","576","0","0","0","214","0","0","0"
"459","Braian Ojeda Rodríguez","45","MID","Nott'm Forest","0","424","0","417","0","461","0","127","0","false","0","Permanent transfer to Real Salt Lake","0","0","0","0","0","0","0","0","0","131","0","0","0","152","2023-08-04 09:39:04.512","472","0","0","Ojeda","0","88","268","0","0","152","0","0","0","0","398","u","0","0","0","0","418","0","0","88","0","0","0","643","","0","130","234","461","0","0","0","116","0","0","0"
"460","Jonathan Panzo","40","DEF","Nott'm Forest","0","255","0","238","0","302","0","97","0","false","0","","146","0","0","0","0","0.5","0","0","0","96","0","0","0","103","","599","0","0","Panzo","0","370","150","0","0","103","0.2","0","146","0","200","a","0","0","0","0","249","0","0","370","1.5","0","0","390","","0","93","177","302","0","0","0","70","0","0","0"
"461","Omar Richards","45","DEF","Nott'm Forest","0","376","0","365","0","417","0","173","0","false","0","","23","0","0","0","0","1.5","0","0","0","172","0","0","0","177","","403","0","0","O.Richards","0","218","184","0","0","177","0.1","0","23","0","340","a","0","0","0","0","370","0","0","218","2.5","0","0","487","","0","170","101","417","0","0","0","159","0","0","0"
"462","Gustavo Henrique Furtado Scarpa","45","MID","Nott'm Forest","0","364","0","353","0","406","0","109","0","false","0","","116","0","0","0","0","0.5","0","0","0","113","0","0","0","135","","387","0","0","G.Scarpa","0","346","164","0","0","135","0.1","0","116","0","327","a","0","0","0","0","359","0","0","346","1.5","0","0","474","","0","111","213","406","0","0","0","96","0","0","0"
"463","Jonjo Shelvey","50","MID","Nott'm Forest","0","492","0","485","0","523","0","171","0","false","0","","34","0","0","0","0","1.1","0","0","0","175","0","0","0","194","","156","0","0","J.Shelvey","0","185","203","0","0","194","0","0","34","0","471","a","0","0","0","0","487","0","0","185","2.1","0","0","538","2.0","0","174","99","523","0","0","0","162","0","0","0"
"464","Sam Surridge","45","FWD","Nott'm Forest","0","382","0","373","0","422","0","23","0","false","0","Joined Nashville SC on a permanent transfer","0","0","0","0","0","0","0","0","0","26","0","0","0","38","2023-07-26 11:30:33.401","416","0","0","Surridge","0","3933","45","0","0","38","0.4","0","0","0","350","u","0","0","0","0","376","0","0","3933","0","0","0","250","","0","25","66","422","0","0","0","26","0","0","0"
"465","Harry Toffolo","45","DEF","Nott'm Forest","0","339","0","328","0","379","0","154","0","false","0","","20","0","0","0","0","1.5","0","0","0","152","0","0","0","155","","352","0","0","Toffolo","0","230","186","0","0","155","0.1","0","20","0","298","a","0","0","0","0","334","0","0","230","2.5","0","0","500","","0","150","68","379","0","0","0","134","0","0","0"
"466","Hwang Ui-jo","45","FWD","Nott'm Forest","0","373","0","362","0","414","0","21","0","false","0","","1258","0","0","0","0","0.5","0","0","0","24","0","0","0","36","","400","0","0","Ui-jo","0","2988","26","0","0","36","1.5","0","1258","0","337","a","0","0","0","0","367","0","0","2988","1.5","0","0","139","","0","23","64","414","0","0","0","24","0","0","0"
"467","Neco Williams","45","DEF","Nott'm Forest","1","192","3.4","181","0","177","0","65","0.46","false","0","","317","0","0","2.3","0","1.5","3","0","0","68","0","0","0","63","","412","0","0","Williams","0","570","111","0","0","63","0.3","0.4","317","0","346","a","1","0.2","0","1","167","0","0","570","2.5","1","4","290","","0.2","66","108","177","0","0","0.1","164","0","0","18"
"468","Chris Wood","50","FWD","Nott'm Forest","1","496","0","489","0","203","0","45","0.08","false","0","","942","0","0","7.2","0","0.9","0","0","0","47","0","0","0","26","","163","0","0","Wood","0","2365","40","0","0","26","0.6","0","942","0","475","a","1","0.2","0","1","491","0","0","2365","1.9","1","3","214","","0.2","46","42","203","0","0","0","47","0","0","1"
"469","Joe Worrall","45","DEF","Nott'm Forest","1","143","16.2","366","0","176","2","32","0.75","false","2","","160","0","0","0.76","1","1.5","0","2.02","0","52","0","0","0","62","","404","0","0","Worrall","0","240","178","0","0","62","0.1","1.8","160","0","118","a","1","0.2","0","1","78","0","0","240","2.5","1","10","461","","0.2","171","102","176","0","0","0","35","0","1.01","89"
"470","Ryan Yates","50","MID","Nott'm Forest","2","173","7.6","128","0","119","0","62","0.83","false","2","","56","0","0.01","0.83","1","1.1","0","2","0.01","80","0","0","0","45","","234","0.01","0","Yates","0","158","197","0","0","45","0","1","56","0.01","529","a","2","0.4","0","2","145","0","0","158","2.1","2","2","530","","0.4","74","153","119","0","0","2.3","205","0","1","90"
"604","Olu Aina","45","DEF","Nott'm Forest","0","351","0","340","0","391","0","159","0.38","false","2","","793","1","0","0.48","1","1.5","0","2.54","0","157","0.03","0","0","161","","366","0.02","0","Aina","0","468","158","0.02","0","161","0.1","0","793","0.03","311","a","0","0","0","0","346","0","0","468","2.5","0","9","412","","0","155","75","391","0","0","0","140","0","1.27","71"
"636","George Shelvey","40","GKP","Nott'm Forest","0","288","0","272","0","334","0","51","0","false","0","","126","0","0","0","0","0.5","0","0","0","51","0","0","0","56","","633","0","0","G.Shelvey","0","90","66","0","0","56","0","0","126","0","234","a","0","0","0","0","282","0","0","90","1.5","0","0","521","","0","41","69","334","0","0","0","40","0","0","0"
"637","Josh Powell","40","DEF","Nott'm Forest","0","307","0","291","0","352","0","132","0","false","0","","226","0","0","0","0","0.5","0","0","0","130","0","0","0","135","","656","0","0","Powell","0","182","172","0","0","135","0.1","0","226","0","255","a","0","0","0","0","302","0","0","182","1.5","0","0","450","","0","127","215","352","0","0","0","106","0","0","0"
"27","Auston Trusty","40","DEF","Sheffield Utd","0","252","0","235","0","299","0","95","0","false","0","","2304","0","0","0","0","0.5","0","0","0","94","0","0","0","101","","596","0","0","Trusty","0","1918","58","0","0","101","1.1","0","2304","0","197","a","0","0","0","0","246","0","0","1918","0.5","0","0","166","","0","91","175","299","0","0","0","68","0","0","0"
"471","Anel Ahmedhodžić","45","DEF","Sheffield Utd","1","400","0","392","0","184","0","186","2.01","false","1","","517","1","0","2.01","1","1.5","0","1","0","185","0.05","0","0","69","","443","0.05","0","Ahmedhodžić","0","984","88","0.05","0","69","0.5","0","517","0.05","373","a","1","0.2","0","1","394","0","0","984","1.5","1","4","241","","0.2","185","127","184","0","0","0","179","0","1","90"
"472","Jordan Amissah","40","GKP","Sheffield Utd","0","305","0","289","0","350","0","58","0","false","0","","394","0","0","0","0","0.5","0","0","0","58","0","0","0","63","","654","0","0","Amissah","0","521","38","0","0","63","0.4","0","394","0","253","a","0","0","0","0","300","0","0","521","0.5","0","0","256","","0","48","76","350","0","0","0","47","0","0","0"
"473","George Baldock","40","DEF","Sheffield Utd","2","217","0","199","0","79","0","75","2.01","false","1","","23249","0","0.02","2.01","1","0.5","0","1","0.02","74","0","0","0","22","","560","0.02","0","Baldock","0","6940","10","0","0","22","15.3","0","23249","0.02","161","a","2","0.5","0","2","211","0","0","6940","0.5","2","6","27","","0.5","71","155","79","0","0","0","48","0","1","90"
"474","Chris Basham","40","DEF","Sheffield Utd","2","209","0","191","0","78","0","73","1.8","false","1","","2562","0","0","2.05","1","0.5","0","1.14","0","71","0","0","0","21","","552","0","0","Basham","0","776","89","0","0","21","0.5","0","2562","0","153","a","2","0.5","0","2","204","0","0","776","0.5","2","6","243","","0.5","68","152","78","0","0","0","45","0","1.14","79"
"476","Jayden Bogle","45","DEF","Sheffield Utd","0","392","0","383","0","433","0","183","0","false","0","Knee injury - 25% chance of playing","10","0","0","0","0","0.4","0","0","0","182","0","25","0","187","2023-08-04 11:00:04.348","432","0","0","Bogle","0","169","205","0","0","187","0","0","10","0","363","d","0","0","0","0","386","0","0","169","0.4","0","0","585","","0","181","121","433","0","0","0","174","25","0","0"
"477","Rhian Brewster","50","FWD","Sheffield Utd","0","540","0","534","0","558","0","48","0","false","0","Lack of match fitness - 25% chance of playing","44","0","0","0","0","0.2","0","0","0","49","0","25","0","57","2023-08-06 23:30:06.086","226","0","2","Brewster","0","677","64","0","0","57","0.1","0","44","0","523","d","0","0","0","0","536","0","0","677","0.2","0","0","466","","0","48","46","558","0","0","0","49","25","0","0"
"478","Ismaila Coulibaly","45","MID","Sheffield Utd","0","445","0","438","0","482","0","139","0","false","0","Knee injury - 25% chance of playing","29","0","0","0","0","0.1","0","0","0","143","0","25","0","164","2023-08-04 11:00:04.362","497","0","0","Coulibaly","0","307","195","0","0","164","0","0","29","0","419","d","0","0","0","0","440","0","0","307","0.1","0","0","528","","0","142","247","482","0","0","0","128","25","0","0"
"479","Adam Davies","40","GKP","Sheffield Utd","0","221","0","204","0","268","0","26","0","false","0","","190","0","0","0","0","0.5","0","0","0","26","0","0","0","31","","565","0","0","Davies","0","303","52","0","0","31","0.2","0","190","0","166","a","0","0","0","0","215","0","0","303","0.5","0","0","334","","0","15","43","268","0","0","0","14","0","0","0"
"480","John Egan","45","DEF","Sheffield Utd","2","333","0","322","0","90","0","148","2.01","false","1","","183","0","0","2.01","1","1.5","0","1","0","146","0.04","0","0","30","","343","0.04","0","Egan","0","250","146","0.04","0","30","0.2","0","183","0.04","290","a","2","0.4","0","2","328","0","0","250","1.5","2","13","375","","0.4","144","60","90","0","0","0","127","0","1","90"
"481","John Fleck","50","MID","Sheffield Utd","0","490","0","483","0","521","0","169","0","false","0","Knock - 75% chance of playing","9","0","0","0","0","0.8","0","0","0","173","0","75","0","192","2023-08-04 11:00:04.379","154","0","0","Fleck","0","79","257","0","0","192","0","0","9","0","469","d","0","0","0","0","485","0","0","79","0.8","0","0","622","2.0","0","172","97","521","0","0","0","160","75","0","0"
"482","Wes Foderingham","45","GKP","Sheffield Utd","4","325","0","312","0","53","0","63","2.01","false","1","","908","0","0","2.01","1","1.9","0","1","0","63","0","0","0","4","","329","0","0","Foderingham","0","452","44","0","0","4","0.3","0","908","0","279","a","4","0.9","7","4","320","0","0","452","1.9","4","22","289","","0.9","56","19","53","7","0","0","55","0","1","90"
"483","Daniel Jebbison","50","FWD","Sheffield Utd","0","591","0","585","0","597","0","63","0","false","0","Groin Injury - 75% chance of playing","12","0","0","0","0","0.7","0","0","0","64","0","75","0","69","2023-08-06 23:30:06.119","299","0","0","Jebbison","0","164","80","0","0","69","0","0","12","0","579","d","0","0","0","0","586","0","0","164","0.7","0","0","587","","0","63","61","597","0","0","0","64","75","0","0"
"484","Max Lowe","45","DEF","Sheffield Utd","2","83","27.2","90","0","93","0","11","1.8","false","1","","80","0","0.01","2.05","1","1.5","0","1.14","0.01","24","0","0","0","31","","363","0.01","0","Lowe","0","198","177","0","0","31","0.1","3.8","80","0.01","308","a","2","0.4","0","2","40","0","0","198","1.5","2","10","460","","0.4","25","73","93","0","0","10.9","138","0","1.14","79"
"485","Oliver McBurnie","55","FWD","Sheffield Utd","0","605","0","603","0","611","0","68","0","false","0","Foot injury - 50% chance of playing","61","0","0","0","0","0.7","0","0","0","68","0","50","0","72","2023-08-06 23:30:06.135","105","0","0","McBurnie","0","461","71","0","0","72","0.1","0","61","0","599","d","0","0","0","0","601","0","0","461","0.7","0","0","506","","0","67","31","611","0","0","0","68","50","0","0"
"486","Iliman Ndiaye","55","FWD","Sheffield Utd","0","624","0","622","0","628","0","70","0","false","0","Permanent transfer to Marseille","0","0","0","0","0","0","0","0","0","70","0","0","0","74","2023-08-02 07:28:59.550","138","0","0","Ndiaye","0","705","77","0","0","74","0","0","0","0","620","u","0","0","0","0","620","0","0","705","0","0","0","567","","0","69","35","628","0","0","0","70","0","0","0"
"487","Rhys Norrington-Davies","40","DEF","Sheffield Utd","0","285","0","269","0","331","0","118","0","false","0","Lack of match fitness - 25% chance of playing","26","0","0","0","0","0.1","0","0","0","117","0","25","0","123","2023-08-06 23:30:06.150","630","0","0","Norrington-Davies","0","351","180","0","0","123","0.1","0","26","0","231","d","0","0","0","0","279","0","0","351","0.1","0","0","473","","0","114","198","331","0","0","0","91","25","0","0"
"488","Oliver Norwood","50","MID","Sheffield Utd","2","499","0","492","0","105","0","175","2.01","false","1","","86","0","0.09","2.01","1","0.8","1","1","0.09","179","0.04","75","0","36","2023-08-06 23:30:06.165","167","0.13","0","Norwood","0","110","230","0.04","0","36","0","0","86","0.13","478","a","2","0.4","0","2","494","0","0","110","1.1","2","11","579","1.0","0.4","178","105","105","0","0","0","166","100","1","90"
"489","Ben Osborn","50","MID","Sheffield Utd","2","525","0","519","0","115","0","196","2.01","false","1","","48","0","0.01","2.1","1","1.1","0","1.05","0.01","200","0.13","0","0","43","","210","0.13","0","Osborn","0","95","215","0.12","0","43","0","0","48","0.14","507","a","2","0.4","0","2","521","0","0","95","1.1","2","6","556","","0.4","199","136","115","0","0","0","188","0","1.05","86"
"490","William Osula","45","FWD","Sheffield Utd","1","479","0","472","0","199","0","44","2.01","false","1","","3672","1","0.01","2.01","1","0.5","0","1","0.01","46","0.24","0","0","25","","538","0.25","0","Osula","0","2396","25","0.24","0","25","1.7","0","3672","0.25","456","a","1","0.2","0","1","474","0","0","2396","0.5","1","-5","133","","0.2","45","87","199","0","0","0","46","0","1","90"
"576","Jack Robinson","45","DEF","Sheffield Utd","2","327","0","314","0","87","0","144","1.8","false","1","","91","0","0","2.05","1","1.5","0","1.14","0","142","0","0","0","27","","332","0","0","Robinson","0","191","174","0","0","27","0.1","0","91","0","282","a","2","0.4","0","2","322","0","0","191","1.5","2","10","454","","0.4","139","52","87","0","0","0","122","0","1.14","79"
"587","Anis Slimane","50","MID","Sheffield Utd","0","587","0","581","0","594","0","232","0.21","false","0","","62","1","0","1.89","0","1.1","0","0","0","236","0","0","0","240","","295","0","0","Slimane","0","292","172","0","0","240","0.1","0","62","0","575","a","0","0","0","0","582","0","0","292","1.1","0","-2","485","","0","234","190","594","0","0","0","228","0","0","10"
"592","Yasser Larouci","45","DEF","Sheffield Utd","1","421","0","414","0","188","0","191","0.21","false","0","","23","0","0","1.89","0","1.5","0","0","0","190","0","0","0","71","","469","0","0","Larouci","0","183","182","0","0","71","0.1","0","23","0","395","a","1","0.2","0","1","415","0","0","183","1.5","1","4","484","","0.2","190","136","188","0","0","0","184","0","0","10"
"593","Bénie Traoré","55","FWD","Sheffield Utd","2","630","0","629","0","141","0","75","2.01","false","1","","256","0","0.08","2.1","1","1.4","0","1.05","0.08","75","0","0","0","20","","147","0.08","0","T.Bénie","0","320","66","0","0","20","0.1","0","256","0.08","626","a","2","0.4","0","2","627","0","0","320","1.4","2","1","472","","0.4","74","40","141","0","0","0","75","0","1.05","86"
"638","Vini de Souza Costa","50","MID","Sheffield Utd","1","568","0","562","0","222","0","221","0.21","false","0","","42","0","0","1.89","0","0.8","0","0","0","225","0","75","0","99","2023-08-10 15:30:07.083","268","0","0","Vini Souza","0","22","270","0","0","99","0","0","42","0","556","a","1","0.2","0","1","563","0","0","22","1.1","1","2","645","","0.2","223","172","222","0","0","0","217","100","0","10"
"653","Femi Seriki","40","DEF","Sheffield Utd","0","293","0","277","0","339","0","123","0","false","0","","156","0","0","0","0","0.5","0","0","0","121","0","0","0","127","","640","0","0","Seriki","0","19","212","0","0","127","0","0","156","0","240","a","0","0","0","0","288","0","0","19","0.5","0","0","627","","0","118","204","339","0","0","0","96","0","0","0"
"654","Louie Marsh","45","FWD","Sheffield Utd","0","475","0","468","0","509","0","42","0","false","0","","244","0","0","0","0","0.5","0","0","0","44","0","0","0","55","","534","0","0","Marsh","0","20","84","0","0","55","0","0","244","0","452","a","0","0","0","0","470","0","0","20","0.5","0","0","624","","0","43","85","509","0","0","0","44","0","0","0"
"655","Andre Brooks","45","MID","Sheffield Utd","1","480","0","473","0","200","0","161","0","false","0","","272","0","0.01","0","0","0.5","0","0","0.3","165","0","0","0","85","","539","0.01","0","Brooks","0","24","261","0","0","85","0","0","272","0.3","457","a","1","0.2","0","1","475","0","0","24","0.5","1","3","629","","0.2","164","273","200","0","0","0","151","0","0","3"
"656","Antwoine Hackford","45","FWD","Sheffield Utd","1","452","0","445","0","195","0","37","0","false","0","","488","0","0","0","0","0.5","0","0","0","39","0","0","0","24","","510","0","0","Hackford","0","73","81","0","0","24","0","0","488","0","428","a","1","0.2","0","1","447","0","0","73","0.5","1","3","601","","0.2","38","80","195","0","0","0","39","0","0","3"
"491","Brandon Austin","40","GKP","Spurs","0","259","0","242","0","306","0","42","0","false","0","","617","0","0","0","0","1","0","0","0","42","0","0","0","47","","603","0","0","Austin","0","345","50","0","0","47","0.2","0","617","0","204","a","0","0","0","0","253","0","0","345","0.5","0","0","312","","0","31","59","306","0","0","0","30","0","0","0"
"492","Rodrigo Bentancur","55","MID","Spurs","0","615","0","613","0","620","0","251","0","false","0","Knee injury - Expected back 04 Nov","48","0","0","0","0","0","0","0","0","255","0","0","0","258","2023-07-05 16:30:03.838","118","0","0","Bentancur","0","129","262","0","0","258","0","0","48","0","609","i","0","0","0","0","611","0","0","129","0","0","0","630","","0","254","73","620","0","0","0","250","0","0","0"
"493","Yves Bissouma","50","MID","Spurs","2","41","29.2","31","0","125","8","12","2.02","false","2","","1487","0","0.11","2.02","1","1.6","0","2","0.11","21","0.04","0","0","50","","257","0.15","0","Bissouma","0","1054","94","0.04","0","50","0.2","6.3","1487","0.15","78","a","2","0.4","0","2","37","0","0","1054","1.1","2","20","319","","0.4","23","166","125","0","0","25.4","45","0","1","90"
"494","Bryan Gil Salvatierra","50","MID","Spurs","0","573","0","567","0","582","0","224","0","false","0","Groin Injury - Unknown return date","12","0","0","0","0","0","0","0","0","228","0","0","0","233","2023-08-04 11:00:04.405","273","0","0","Bryan","0","79","267","0","0","233","0","0","12","0","561","i","0","0","0","0","568","0","0","79","0","0","0","641","","0","226","175","582","0","0","0","220","0","0","0"
"495","Ben Davies","45","DEF","Spurs","0","340","0","329","0","380","0","155","0","false","0","","625","0","0","0","0","2","0","0","0","153","0","0","0","156","","353","0","0","Davies","0","2502","66","0","0","156","0.8","0","625","0","299","a","0","0","0","0","335","0","0","2502","1.5","0","0","185","","0","151","69","380","0","0","0","135","0","0","0"
"496","Eric Dier","45","DEF","Spurs","0","331","0","318","0","372","0","146","0","false","0","","1487","0","0","0","0","2","3","0","0","144","0","0","0","148","","337","0","0","Dier","0","3876","55","0","0","148","1.2","0","1487","0","286","a","0","0","0","0","326","0","0","3876","1.5","0","0","157","","0","141","55","372","0","0","0","124","0","0","0"
"497","Emerson Leite de Souza Junior","45","DEF","Spurs","8","32","47.6","81","1","14","11","1","2.02","false","2","","10509","0","0.14","2.02","1","2","0","2","0.14","4","0.05","0","1","4","","447","0.19","0","E.Royal","0","1471","70","0.05","0","4","0.7","7.1","10509","0.19","64","a","8","1.8","0","8","9","0","0","1471","1.5","8","27","199","","1.8","21","129","14","0","0","12.3","12","0","1","90"
"498","Fraser Forster","40","GKP","Spurs","0","208","0","190","0","258","0","19","0","false","0","Back injury - Unknown return date","156","0","0","0","0","0","0","0","0","19","0","0","0","24","2023-08-11 16:00:08.821","551","0","0","Forster","0","18174","13","0","0","24","4.1","0","156","0","152","i","0","0","0","0","203","0","0","18174","0","0","0","84","","0","7","35","258","0","0","0","6","0","0","0"
"499","Pierre-Emile Højbjerg","55","MID","Spurs","0","603","0","600","0","610","0","242","0","false","0","","598","0","0","0","0","2.1","0","0","0","246","0","0","0","250","","98","0","0","Højbjerg","0","3127","68","0","0","250","0.6","0","598","0","596","a","0","0","0","0","599","0","0","3127","1.6","0","0","212","","0","244","59","610","0","0","0","240","0","0","0"
"500","Harry Kane","125","FWD","Spurs","0","658","0","658","0","655","0","87","0","false","0","Transferred to Bayern Munich","565","0","0","0","0","3.6","2","0","0","87","0","0","0","87","2023-08-12 09:23:00.234","2","0","1","Kane","0","148865","19","0","0","87","2.7","0","565","0","658","u","0","0","0","0","658","0","0","148865","0","0","0","111","","0","87","2","655","0","0","0","87","0","0","0"
"501","Dejan Kulusevski","70","MID","Spurs","2","67","10","48","0","155","19","47","2.02","false","2","","1532","0","0.36","2.02","1","2.5","0","2","0.36","37","0.04","0","0","72","","36","0.4","0","Kulusevski","0","4510","47","0.04","0","72","1.5","4.9","1532","0.4","45","a","2","0.3","0","2","123","0","0","4510","2","2","12","137","3.0","0.3","32","23","155","0","0","19.8","24","0","1","90"
"502","Hugo Lloris","50","GKP","Spurs","0","487","0","480","0","518","0","71","0","false","0","","1415","0","0","0","0","3.2","0","0","0","71","0","0","0","72","","150","0","0","Lloris","0","3149","25","0","0","72","0.8","0","1415","0","465","a","0","0","0","0","482","0","0","3149","2.7","0","0","187","","0","66","4","518","0","0","0","66","0","0","0"
"503","Giovani Lo Celso","50","MID","Spurs","0","544","0","538","0","562","0","211","0","false","0","","249","0","0","0","0","1.6","0","0","0","215","0","0","0","224","","230","0","0","Lo Celso","0","795","128","0","0","224","0.1","0","249","0","527","a","0","0","0","0","540","0","0","795","1.1","0","0","402","","0","214","152","562","0","0","0","204","0","0","0"
"504","James Maddison","75","MID","Spurs","9","4","49","3","0","12","21","4","2.02","false","2","","42049","1","0.94","2.02","1","2.6","0","2","0.94","2","0.07","0","2","6","","20","1.01","0","Maddison","0","13806","11","0.07","0","6","11.7","15.3","42049","1.01","42","a","9","1.2","0","9","8","2","0","13806","2.1","9","31","36","1.0","1.2","2","12","12","0","0","82.7","21","0","1","90"
"505","Tanguy Ndombélé Alvaro","45","MID","Spurs","0","393","0","385","0","434","0","113","0","false","0","","1180","0","0","0","0","1","0","0","0","117","0","0","0","139","","435","0","0","Ndombele","0","2466","69","0","0","139","0.6","0","1180","0","365","a","0","0","0","0","387","0","0","2466","0.5","0","0","221","","0","115","219","434","0","0","0","101","0","0","0"
"506","Pedro Porro","50","DEF","Spurs","0","576","0","570","0","585","0","211","0","false","0","","3735","0","0","0","0","2.3","4","0","0","211","0","0","0","210","","278","0","0","Pedro Porro","0","9770","40","0","0","210","2.2","0","3735","0","564","a","0","0","0","0","571","0","0","9770","1.8","0","0","120","4.0","0","211","32","585","0","0","0","210","0","0","0"
"507","Ivan Perišić","50","DEF","Spurs","1","116","8.4","61","0","201","0","56","0.3","false","0","","5636","0","0.16","1.8","0","2.3","5","0","0.96","37","0","0","0","75","","153","0.16","0","Perišić","0","9125","33","0","0","75","3.2","2.5","5636","0.96","468","a","1","0.2","0","1","139","0","0","9125","1.8","1","8","97","2.0","0.2","15","12","201","0","0","16.3","197","0","0","15"
"508","Sergio Reguilón","45","DEF","Spurs","0","370","0","359","0","411","0","170","0","false","0","","306","0","0","0","0","2","0","0","0","168","0","0","0","173","","395","0","0","Reguilón","0","937","118","0","0","173","0.2","0","306","0","333","a","0","0","0","0","365","0","0","937","1.5","0","0","306","","0","166","95","411","0","0","0","154","0","0","0"
"509","Richarlison de Andrade","70","MID","Spurs","2","56","6.4","72","0","153","32","64","2.02","false","2","","10822","0","0.01","2.02","1","2.5","0","2","0.01","31","0.21","0","0","70","","34","0.22","0","Richarlison","0","9983","27","0.21","0","70","4.3","5.2","10822","0.22","30","a","2","0.3","0","2","149","0","0","9983","2","2","3","80","","0.3","48","21","153","0","0","13.5","13","0","1","90"
"510","Joe Rodon","40","DEF","Spurs","0","258","0","241","0","305","0","99","0","false","0","Season long loan to Leeds United","0","0","0","0","0","0","0","0","0","98","0","0","0","105","2023-08-11 10:47:30.310","602","0","0","Rodon","0","2248","129","0","0","105","0.2","0","0","0","203","u","0","0","0","0","252","0","0","2248","0","0","0","336","","0","95","179","305","0","0","0","72","0","0","0"
"511","Cristian Romero","45","DEF","Spurs","7","36","34","172","1","20","33","5","0","false","0","Head injury - 75% chance of playing","6271","0","0.01","0","1","2","0","0","0.07","5","3.53","0","0","7","2023-08-13 21:30:07.025","423","0.52","0","Romero","0","2453","57","0.51","0","7","1.1","6.7","6271","3.6","25","d","7","1.6","0","7","21","0","0","2453","1.1","7","15","160","","1.6","64","114","20","0","0","0.3","6","75","6.92","13"
"512","Davinson Sánchez","45","DEF","Spurs","0","107","17.4","112","0","399","4","30","2.02","false","2","","272","1","0.03","2.39","0","2","0","2.37","0.04","32","0.14","0","0","165","","378","0.15","0","Sánchez","0","557","138","0.12","0","165","0.2","2.7","272","0.18","101","a","0","0","0","0","74","0","0","557","1.5","0","9","354","","0","33","83","399","0","0","5.2","27","0","0","76"
"513","Pape Matar Sarr","45","MID","Spurs","1","98","10.8","130","0","193","17","44","0.3","false","0","","2386","0","0.01","1.8","0","1","0","0","0.06","52","0.72","0","0","82","","505","0.13","0","Sarr","0","3476","57","0.12","0","82","1","3","2386","0.78","47","a","1","0.2","0","1","115","0","0","3476","0.5","1","4","173","","0.2","76","253","193","0","0","1.9","25","0","0","15"
"514","Ryan Sessegnon","45","DEF","Spurs","0","362","0","351","0","404","0","163","0","false","0","Hamstring injury - Unknown return date","18","0","0","0","0","0","0","0","0","161","0","0","0","167","2023-07-12 00:30:03.648","384","0","0","Sessegnon","0","89","213","0","0","167","0","0","18","0","325","i","0","0","0","0","357","0","0","89","0","0","0","631","","0","159","86","404","0","0","0","147","0","0","0"
"515","Oliver Skipp","50","MID","Spurs","1","170","2.2","113","0","216","4","82","1.72","false","2","","537","1","0.01","2.09","1","1.6","0","2.43","0.01","78","0","0","0","95","","238","0.01","0","Skipp","0","1015","90","0","0","95","0.2","1.1","537","0.01","105","a","1","0.2","0","1","179","0","0","1015","1.1","1","8","313","","0.2","69","156","216","0","0","5.1","57","0","1.22","74"
"516","Son Heung-min","90","MID","Spurs","2","84","0","106","0","159","31","277","1.72","false","2","","27018","0","0.05","2.09","1","3","1","2.43","0.06","45","0.1","0","0","75","","5","0.13","3","Son","0","16405","20","0.08","0","75","5.7","3.7","27018","0.16","33","a","2","0.2","0","2","656","0","0","16405","2.5","2","5","64","1.0","0.2","66","3","159","0","0","6.8","16","0","1.22","74"
"517","Djed Spence","40","DEF","Spurs","0","266","0","250","0","313","0","102","0","false","0","","1351","0","0","0","0","1","0","0","0","101","0","0","0","108","","611","0","0","Spence","0","1560","74","0","0","108","0.6","0","1351","0","212","a","0","0","0","0","260","0","0","1560","0.5","0","0","208","","0","98","182","313","0","0","0","75","0","0","0"
